tick,prey,energy
205,59,64.6457627119
206,59,64.4957627119
207,59,64.3457627119
208,59,64.1957627119
209,59,64.8084745763
210,59,64.6584745763
211,59,64.7627118644
212,60,64.7
213,60,64.55
214,61,64.7352459016
215,61,64.5852459016
216,61,64.5286885246
217,61,64.45
218,61,64.3
219,61,64.15
220,61,64.0
221,61,63.85
222,61,64.1918032787
223,61,64.0418032787
224,61,63.8918032787
225,62,63.8403225806
226,62,63.9322580645
227,62,63.7822580645
228,62,63.6322580645
229,62,63.4822580645
230,62,63.3322580645
231,62,63.1822580645
232,62,63.0322580645
233,62,63.3661290323
234,62,63.2161290323
235,62,63.3080645161
236,62,63.4
237,62,63.25
238,62,63.1
239,62,63.0056451613
240,62,63.1362903226
241,62,62.9862903226
242,62,63.0782258065
243,62,62.9282258065
244,62,63.2620967742
245,61,62.7286885246
246,61,62.5786885246
247,62,62.5483870968
248,62,62.4733870968
249,62,62.5653225806
250,62,62.4153225806
251,62,62.2653225806
252,62,62.3572580645
253,62,62.4491935484
254,63,62.6571428571
255,63,62.7452380952
256,63,62.5952380952
257,63,62.6833333333
258,63,62.5333333333
259,63,62.6214285714
260,63,62.4714285714
261,63,62.3214285714
262,63,62.1714285714
263,63,62.0214285714
264,63,62.1095238095
265,63,62.1142857143
266,63,61.9642857143
267,63,62.0523809524
268,63,62.1404761905
269,63,62.1547619048
270,63,62.1714285714
271,64,62.14375
272,64,62.228125
273,64,62.13671875
274,63,62.5119047619
275,62,62.9040322581
276,62,62.7540322581
277,62,62.6040322581
278,62,62.4540322581
279,62,62.3040322581
280,62,62.3959677419
281,61,62.3180327869
282,60,63.2425
283,59,63.2322033898
284,58,63.9560344828
285,57,64.1842105263
286,57,64.0342105263
287,56,64.2464285714
288,56,64.0964285714
289,56,63.9973214286
290,55,64.9354545455
291,55,64.7854545455
292,55,64.6354545455
293,54,64.6416666667
294,53,64.6537735849
295,53,64.4867924528
296,52,65.1019230769
297,52,64.9519230769
