tick,prey,energy
130,49,73.6520408163
131,50,73.429
132,50,73.279
133,50,73.162
134,50,73.012
135,50,73.162
136,50,73.012
137,50,72.862
138,50,72.712
139,50,72.7
140,50,72.664
141,50,72.709
142,50,72.559
143,50,72.409
144,50,72.259
145,50,72.109
146,50,72.259
147,50,72.151
148,50,72.301
149,50,72.151
150,50,72.001
151,50,71.851
152,50,72.001
153,50,71.851
154,50,71.701
155,50,71.551
156,50,71.401
157,51,71.5176470588
158,51,71.3676470588
159,51,71.2176470588
160,51,71.0676470588
161,51,71.2764705882
162,51,71.2705882353
163,51,71.1205882353
164,51,70.9705882353
165,51,71.1147058824
166,50,70.471
167,50,70.621
168,50,70.471
169,49,70.2326530612
170,49,70.2969387755
171,48,70.09375
172,48,70.25625
173,48,70.41875
174,49,70.2602040816
175,49,70.1102040816
176,49,69.9602040816
177,49,69.8102040816
178,49,69.6602040816
179,49,69.8163265306
180,49,69.6663265306
181,49,69.5163265306
182,49,69.3663265306
183,49,69.2163265306
184,49,69.0663265306
185,49,69.0540816327
186,49,69.0234693878
187,49,68.8734693878
188,49,68.7234693878
189,49,68.5734693878
190,49,68.4234693878
191,49,68.2734693878
192,49,68.1234693878
193,49,67.9734693878
194,49,67.8234693878
195,49,67.6734693878
196,49,67.5234693878
197,49,67.4683673469
198,49,67.3183673469
199,49,67.1683673469
200,49,67.0183673469
201,49,66.8683673469
202,49,66.7183673469
203,49,66.5683673469
204,49,66.4183673469
205,49,66.3755102041
206,49,66.2255102041
207,49,66.0755102041
208,49,65.9255102041
209,49,65.7755102041
210,49,65.6255102041
211,49,65.4755102041
212,49,65.3255102041
213,50,65.269
214,50,65.119
215,50,64.969
216,50,65.119
217,50,64.969
218,50,64.819
219,50,64.669
220,50,64.519
221,50,64.669
222,50,64.519
223,50,64.369
224,50,64.219
225,49,64.3306122449
226,49,64.4867346939
227,49,64.7102040816
228,49,64.5602040816
229,49,64.4102040816
230,49,64.2602040816
231,49,64.1102040816
232,49,64.2663265306
233,49,64.4224489796
234,49,64.2724489796
235,49,64.4285714286
236,49,64.2785714286
237,49,64.1285714286
238,49,63.9785714286
239,49,63.8285714286
240,49,63.6785714286
241,49,63.5285714286
242,49,63.3785714286
243,49,63.2285714286
244,49,63.3846938776
245,50,63.367
246,50,63.517
247,50,63.667
248,50,63.517
249,50,63.367
250,50,63.517
251,50,63.367
252,50,63.217
253,50,63.367
254,50,63.517
255,50,63.667
256,50,63.517
257,50,63.367
258,50,63.517
259,50,63.367
260,50,63.517
261,50,63.667
262,50,63.517
263,50,63.367
264,50,63.217
265,50,63.367
266,50,63.217
267,50,63.067
268,50,63.217
269,50,63.274
270,50,63.424
271,50,63.574
272,50,63.424
273,50,63.949
274,50,63.799
275,50,63.949
276,50,64.099
277,50,63.949
278,50,63.799
279,50,63.949
280,50,64.399
281,50,64.249
282,50,64.099
283,50,63.949
284,50,63.799
285,50,63.649
286,50,63.499
287,50,63.649
288,50,63.499
289,50,63.349
290,50,63.199
291,50,63.049
292,50,62.899
293,49,63.1918367347
294,48,63.190625
295,49,63.1795918367
296,49,63.3357142857
297,49,63.4918367347
298,49,63.9479591837
299,49,63.7979591837
300,49,63.6479591837
301,49,63.8040816327
302,49,63.7795918367
303,49,63.6295918367
304,49,63.7857142857
305,49,63.9418367347
306,49,64.0979591837
307,49,64.3704081633
308,49,64.5265306122
309,49,64.3765306122
310,49,64.2265306122
311,49,64.3826530612
312,49,64.5387755102
313,49,64.3887755102
314,49,64.2387755102
315,49,64.0887755102
316,49,64.0704081633
317,49,63.9204081633
318,49,64.0765306122
319,49,63.9265306122
320,49,64.0826530612
321,49,63.9326530612
322,49,63.7826530612
323,49,63.9387755102
324,49,63.7887755102
325,49,64.2510204082
326,49,64.4071428571
327,48,64.534375
328,48,64.696875
329,47,65.1617021277
330,47,65.0117021277
331,47,65.1808510638
332,47,65.35
333,48,65.296875
334,48,65.296875
335,48,65.146875
336,48,64.996875
337,48,64.846875
338,48,64.696875
339,48,64.546875
340,48,64.396875
341,48,64.559375
342,48,64.409375
343,49,64.3734693878
344,49,64.5295918367
345,49,64.5234693878
346,49,64.3734693878
347,49,64.2234693878
348,49,64.3795918367
349,49,64.8418367347
350,49,64.9979591837
351,49,64.8479591837
352,49,65.2979591837
353,49,65.4540816327
354,49,65.7755102041
355,49,65.6346938776
356,49,65.4846938776
357,49,65.3346938776
358,49,65.2244897959
359,50,65.17
360,50,65.02
361,50,65.17
362,50,65.311
363,50,65.461
364,50,65.311
365,50,65.161
366,50,65.911
367,50,66.061
368,50,66.211
369,50,66.349
370,50,66.199
371,50,66.049
372,50,66.199
373,50,66.403
374,50,66.253
375,50,66.403
376,51,66.3235294118
377,51,66.4676470588
378,51,66.3176470588
379,51,66.2176470588
380,51,66.3617647059
