tick,prey,predator,energy
480,895,1000,0
481,905,1000,0
482,890,1000,0
483,899,1000,0
484,901,1000,0
485,907,1000,0
486,903,1000,0
487,891,1000,0
488,906,1000,0
489,899,1000,0
490,906,1000,0
491,912,1000,0
492,895,1000,0
493,905,1000,0
494,905,1000,0
495,904,1000,0
496,905,1000,0
497,908,1000,0
498,901,1000,0
499,900,1000,0
500,912,1000,0
501,909,1000,0
502,881,1000,0
503,901,1000,0
504,899,1000,0
505,899,1000,0
506,913,1000,0
507,893,1000,0
508,914,1000,0
509,905,1000,0
510,902,1000,0
511,893,1000,0
512,919,1000,0
513,897,1000,0
514,897,1000,0
515,896,1000,0
516,900,1000,0
517,900,1000,0
518,906,1000,0
519,881,1000,0
520,916,1000,0
521,900,1000,0
522,888,1000,0
523,902,1000,0
524,914,1000,0
525,904,1000,0
526,902,1000,0
527,896,1000,0
528,900,1000,0
529,912,1000,0
530,900,1000,0
531,902,1000,0
532,900,1000,0
533,900,1000,0
534,915,1000,0
535,902,1000,0
536,875,1000,0
537,913,1000,0
538,894,1000,0
539,889,1000,0
540,911,1000,0
541,893,1000,0
542,901,1000,0
543,908,1000,0
544,919,1000,0
545,897,1000,0
546,915,1000,0
547,909,1000,0
548,890,1000,0
549,895,1000,0
550,912,1000,0
551,904,1000,0
552,895,1000,0
553,910,1000,0
554,913,1000,0
555,912,1000,0
556,906,1000,0
557,913,1000,0
558,909,1000,0
559,894,1000,0
560,901,1000,0
561,889,1000,0
562,906,1000,0
563,898,1000,0
564,901,1000,0
565,903,1000,0
566,904,1000,0
567,910,1000,0
568,901,1000,0
569,911,1000,0
570,907,1000,0
571,897,1000,0
572,915,1000,0
573,898,1000,0
574,897,1000,0
575,928,1000,0
576,906,1000,0
577,896,1000,0
578,906,1000,0
579,915,1000,0
580,897,1000,0
581,914,1000,0
582,918,1000,0
583,909,1000,0
584,902,1000,0
585,902,1000,0
586,893,1000,0
587,891,1000,0
588,900,1000,0
589,894,1000,0
590,897,1000,0
591,901,1000,0
592,905,1000,0
593,901,1000,0
594,911,1000,0
595,911,1000,0
596,903,1000,0
597,906,1000,0
598,892,1000,0
599,915,1000,0
600,902,1000,0
601,914,1000,0
602,908,1000,0
603,896,1000,0
604,905,1000,0
605,895,1000,0
606,910,1000,0
607,897,1000,0
608,926,1000,0
609,928,1000,0
610,900,1000,0
611,907,1000,0
612,911,1000,0
613,900,1000,0
614,911,1000,0
615,906,1000,0
616,886,1000,0
617,895,1000,0
618,907,1000,0
619,908,1000,0
620,905,1000,0
621,888,1000,0
622,897,1000,0
623,895,1000,0
624,903,1000,0
625,922,1000,0
626,898,1000,0
627,900,1000,0
628,915,1000,0
629,888,1000,0
630,892,1000,0
631,905,1000,0
632,897,1000,0
633,898,1000,0
634,895,1000,0
635,902,1000,0
636,913,1000,0
637,894,1000,0
638,915,1000,0
639,898,1000,0
640,902,1000,0
641,913,1000,0
642,883,1000,0
643,906,1000,0
644,905,1000,0
645,893,1000,0
646,896,1000,0
647,899,1000,0
648,889,1000,0
649,914,1000,0
650,902,1000,0
651,911,1000,0
652,902,1000,0
653,910,1000,0
654,889,1000,0
655,910,1000,0
656,904,1000,0
657,886,1000,0
658,899,1000,0
659,889,1000,0
660,916,1000,0
661,902,1000,0
662,914,1000,0
663,908,1000,0
664,897,1000,0
665,925,1000,0
666,889,1000,0
667,895,1000,0
668,907,1000,0
669,914,1000,0
670,910,1000,0
671,894,1000,0
672,897,1000,0
673,889,1000,0
674,922,1000,0
675,895,1000,0
676,898,1000,0
677,902,1000,0
678,902,1000,0
679,904,1000,0
680,915,1000,0
681,904,1000,0
682,898,1000,0
683,902,1000,0
684,899,1000,0
685,894,1000,0
686,901,1000,0
687,898,1000,0
688,900,1000,0
689,912,1000,0
690,895,1000,0
691,897,1000,0
692,905,1000,0
693,899,1000,0
694,909,1000,0
695,917,1000,0
696,891,1000,0
697,896,1000,0
698,900,1000,0
699,922,1000,0
